"module name","license","repository"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@types/history@4.7.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/prop-types@15.7.14","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-router-dom@5.3.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-router@5.1.20","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@18.3.23","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"clsx@2.1.1","MIT","https://github.com/lukeed/clsx"
"cookie@1.0.2","MIT","https://github.com/jshttp/cookie"
"csstype@3.1.3","MIT","https://github.com/frenic/csstype"
"framer-motion@10.18.0","MIT","https://github.com/framer/motion"
"invariant@2.2.4","MIT","https://github.com/zertosh/invariant"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"lucide-react@0.294.0","ISC","https://github.com/lucide-icons/lucide"
"react-dom@18.3.1","MIT","https://github.com/facebook/react"
"react-fast-compare@3.2.2","MIT","https://github.com/FormidableLabs/react-fast-compare"
"react-helmet-async@2.0.5","Apache-2.0","https://github.com/staylor/react-helmet-async"
"react-router-dom@7.6.2","MIT","https://github.com/remix-run/react-router"
"react-router@7.6.2","MIT","https://github.com/remix-run/react-router"
"react@18.3.1","MIT","https://github.com/facebook/react"
"scheduler@0.23.2","MIT","https://github.com/facebook/react"
"set-cookie-parser@2.7.1","MIT","https://github.com/nfriedly/set-cookie-parser"
"shallowequal@1.1.0","MIT","https://github.com/dashed/shallowequal"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"use-sync-external-store@1.5.0","MIT","https://github.com/facebook/react"
"voidix-web@0.0.0","UNLICENSED",""
"web-vitals@5.0.2","Apache-2.0","https://github.com/GoogleChrome/web-vitals"
"zustand@4.5.7","MIT","https://github.com/pmndrs/zustand"
